time;R_free_bottom;bottom_Hextz;bottom_Hexty;bottom_my;bottom_Hextx;free_Hextz;free_mz;free_mx;bottom_mx;bottom_K;free_my;free_Hexty;free_I;free_Hextx;bottom_mz;free_K;
0;117.916;0;0;0.761844;0;0;1;-0.000472912;0.0908835;1.5e+06;0.000482255;0;1e+10;0;0.641353;350000;
1e-12;120.873;0;0;0.81169;0;0;0.999999;-0.00093883;0.0516533;1.5e+06;0.000976174;0;1e+10;0;0.5818;350000;
2e-12;121.07;0;0;0.815655;0;0;0.999998;-0.00139749;-0.0372685;1.5e+06;0.00148168;0;1e+10;0;0.577337;350000;
3e-12;118.4;0;0;0.771599;0;0;0.999996;-0.00184863;-0.0857909;1.5e+06;0.00199868;0;1e+10;0;0.630297;350000;
4e-12;115.581;0;0;0.725643;0;0;0.999994;-0.002292;-0.0473743;1.5e+06;0.0025271;0;1e+10;0;0.686438;350000;
5e-12;115.408;0;0;0.723155;0;0;0.999992;-0.00272732;0.0365526;1.5e+06;0.00306683;0;1e+10;0;0.689718;350000;
6e-12;117.927;0;0;0.764975;0;0;0.999988;-0.00315433;0.0809533;1.5e+06;0.00361777;0;1e+10;0;0.638953;350000;
7e-12;120.488;0;0;0.808408;0;0;0.999985;-0.00357279;0.0433101;1.5e+06;0.00417982;0;1e+10;0;0.587027;350000;
8e-12;120.536;0;0;0.81002;0;0;0.999981;-0.00398242;-0.035866;1.5e+06;0.00475287;0;1e+10;0;0.585304;350000;
9e-12;118.099;0;0;0.769883;0;0;0.999976;-0.00438296;-0.0763552;1.5e+06;0.00533679;0;1e+10;0;0.633601;350000;
1e-11;115.655;0;0;0.72991;0;0;0.999971;-0.00477417;-0.0394682;1.5e+06;0.00593147;0;1e+10;0;0.682403;350000;
1.1e-11;115.621;0;0;0.729547;0;0;0.999965;-0.00515579;0.0351861;1.5e+06;0.00653677;0;1e+10;0;0.683025;350000;
1.2e-11;117.908;0;0;0.767689;0;0;0.999959;-0.00552755;0.0719817;1.5e+06;0.00715256;0;1e+10;0;0.636767;350000;
1.3e-11;120.113;0;0;0.805344;0;0;0.999952;-0.00588921;0.0358435;1.5e+06;0.0077787;0;1e+10;0;0.591723;350000;
