alpha,rxy_alpha,beta,rxy_beta,gamma,rxy_gamma
-180,1.01932859654683,-30,-0.586494053,-30,-0.575070865
-175,1.01543245696742,-25,-0.393777815,-25,-0.382141437
-170,1.007612317388,-20,-0.141847852,-20,-0.130330999
-165,0.98169917780859,-15,0.140376326,-15,0.155757736
-160,0.949826564229177,-10,0.446659153,-10,0.461762674
-155,0.919056638649764,-5,0.780740755,-5,0.794301061
-150,0.889063391070351,0,1.124094,0,1.134308
-145,0.862988054490938,5,1.452166,5,1.463485
-140,0.841248560911525,10,1.762655,10,1.772663
-135,0.823634746332112,15,2.04946,15,2.055396
-130,0.812474167752699,20,2.304037,20,2.307693
-125,0.807656487173286,25,2.532938,25,2.533546
-120,0.809210697593873,30,2.737615,30,2.734713
-115,0.81547900901446,35,2.916517,35,2.909832
-110,0.828315328435047,40,3.069736,40,3.063501
-105,0.847526380855634,45,3.206459,45,3.200633
-100,0.870187567276221,50,3.32546,50,3.319989
-95,0.894512078696808,55,3.430269,55,3.423243
-90,0.927987696117395,60,3.517196,60,3.508138
-85,0.963895404537982,65,3.589165,65,3.579835
-80,1.00044480495857,70,3.647082,70,3.638942
-75,1.03654966537916,75,3.692149,75,3.684066
-70,1.07431152579974,80,3.72277,80,3.714343
-65,1.10796638622033,85,3.741716,85,3.733639
-60,1.13871424664092,90,3.746344,90,3.739707
-55,1.1654921070615,95,3.737418,95,3.732124
-50,1.18678696748209,100,3.718291,100,3.711515
-45,1.20222982790268,105,3.683704,105,3.678731
-40,1.20842668832326,110,3.636142,110,3.630241
-35,1.20961354874385,115,3.57215,115,3.567461
-30,1.20360240916444,120,3.493689,120,3.490562
-25,1.19170626958503,125,3.40106,125,3.398938
-20,1.17248113000561,130,3.29084,130,3.289186
-15,1.1494089904262,135,3.161701,135,3.159879
-10,1.11939685084679,140,3.011662,140,3.010339
-5,1.08711071126737,145,2.839803,145,2.840193
0,1.05251257168796,150,2.644918,150,2.648036
5,1.01715243210855,155,2.419259,155,2.425149
10,0.983479999529134,160,2.160441,160,2.168866
15,0.948650535949721,165,1.880109,165,1.888511
20,0.913888817370308,170,1.564055,170,1.577908
25,0.885641103790895,175,1.217018,175,1.235654
30,0.860279412211482,180,0.857924495,180,0.876183074
35,0.837526735632069,,,,
40,0.822112485052656,,,,
45,0.812509162473243,,,,
50,0.80964620889383,,,,
55,0.813328654314417,,,,
60,0.819469012735004,,,,
65,0.834751241155591,,,,
70,0.854167217576178,,,,
75,0.880047707996765,,,,
80,0.911574155417352,,,,
85,0.949943892837939,,,,
90,0.986052827258526,,,,
95,1.01938691967911,,,,
100,1.0531767800997,,,,
105,1.08877564052029,,,,
110,1.12276950094087,,,,
115,1.15314136136146,,,,
120,1.18056722178205,,,,
125,1.19503508220263,,,,
130,1.20552394262322,,,,
135,1.21395980304381,,,,
140,1.2120776634644,,,,
145,1.20601352388498,,,,
150,1.19282538430557,,,,
155,1.17346224472616,,,,
160,1.14874710514674,,,,
165,1.12298796556733,,,,
170,1.09447482598792,,,,
175,1.0623756864085,,,,
180,1.02977654682909,,,,
