hx,rxy_hx,h45,rxy_h45,hy,rxy_hy
-9000,0.778622211,-9000,0.565205353,-9000,0.75886212
-7000,0.767848932,-7000,0.555398346,-7000,0.748285174
-5000,0.739299745,-5000,0.529611822,-5000,0.72221848
-4916.667,0.736390423,-4916.667,0.526545058,-4916.667,0.719509654
-4833.333,0.733468119,-4833.333,0.524097282,-4833.333,0.716964118
-4750,0.73089951,-4750,0.522006005,-4750,0.714697206
-4666.667,0.728638656,-4666.667,0.519581803,-4666.667,0.711941702
-4583.333,0.726375389,-4583.333,0.517339849,-4583.333,0.709165771
-4500,0.722035025,-4500,0.513250117,-4500,0.706564519
-4416.667,0.718911215,-4416.667,0.509743739,-4416.667,0.703768552
-4333.333,0.71654073,-4333.333,0.507110665,-4333.333,0.702175612
-4250,0.711868867,-4250,0.504435331,-4250,0.699108641
-4166.667,0.709825483,-4166.667,0.501837309,-4166.667,0.695502738
-4083.333,0.704951383,-4083.333,0.49832968,-4083.333,0.691804082
-4000,0.700310373,-4000,0.493813346,-4000,0.687526299
-3916.667,0.695063702,-3916.667,0.48945464,-3916.667,0.683009943
-3833.333,0.690353077,-3833.333,0.484654,-3833.333,0.678896696
-3750,0.683806173,-3750,0.478726934,-3750,0.672551624
-3666.667,0.677130943,-3666.667,0.472369306,-3666.667,0.666479977
-3583.333,0.670204102,-3583.333,0.46561237,-3583.333,0.659730906
-3500,0.663132235,-3500,0.458860516,-3500,0.652536942
-3416.667,0.654935656,-3416.667,0.449424944,-3416.667,0.645337906
-3333.333,0.645036506,-3333.333,0.439533903,-3333.333,0.63625374
-3250,0.635906073,-3250,0.429938876,-3250,0.626416837
-3166.667,0.624663106,-3166.667,0.417804263,-3166.667,0.61562698
-3083.333,0.610848773,-3083.333,0.403963889,-3083.333,0.603092251
-3000,0.596158481,-3000,0.389726731,-3000,0.589231737
-2916.667,0.578720951,-2916.667,0.371886133,-2916.667,0.573347107
-2833.333,0.558166775,-2833.333,0.352662524,-2833.333,0.554110935
-2750,0.53636036,-2750,0.328348514,-2750,0.53187953
-2666.667,0.509345652,-2666.667,0.301123316,-2666.667,0.505835333
-2583.333,0.478598113,-2583.333,0.270106529,-2583.333,0.475588472
-2500,0.441861644,-2500,0.232741749,-2500,0.438732586
-2416.667,0.398076009,-2416.667,0.187940774,-2416.667,0.396796667
-2333.333,0.344403992,-2333.333,0.134421048,-2333.333,0.344939958
-2250,0.282682546,-2250,0.072657136,-2250,0.28659651
-2166.667,0.207887956,-2166.667,-0.002209785,-2166.667,0.214900231
-2083.333,0.120814237,-2083.333,-0.088827808,-2083.333,0.131106267
-2000,0.017277182,-2000,-0.190236233,-2000,0.031328745
-1916.667,-0.097056439,-1916.667,-0.302830441,-1916.667,-0.079796073
-1833.333,-0.230641589,-1833.333,-0.430694959,-1833.333,-0.207035524
-1750,-0.37289383,-1750,-0.568483195,-1750,-0.34163166
-1666.667,-0.527538671,-1666.667,-0.716597202,-1666.667,-0.489322665
-1583.333,-0.688194357,-1583.333,-0.865495406,-1583.333,-0.644469138
-1500,-0.854302035,-1500,-1.0087,-1500,-0.811084657
-1416.667,-1.00905,-1416.667,-1.131799,-1416.667,-0.976095487
-1333.333,-1.135451,-1333.333,-1.22954,-1333.333,-1.12542
-1250,-1.23278,-1250,-1.308439,-1250,-1.23887
-1166.667,-1.310285,-1166.667,-1.375699,-1166.667,-1.320253
-1083.333,-1.380824,-1083.333,-1.438516,-1083.333,-1.388555
-1000,-1.44213,-1000,-1.493358,-1000,-1.451046
-916.666667,-1.500263,-916.666667,-1.545281,-916.666667,-1.50832
-833.333333,-1.552894,-833.333333,-1.590615,-833.333333,-1.559298
-750,-1.60057,-750,-1.633372,-750,-1.606239
-666.666667,-1.642037,-666.666667,-1.670043,-666.666667,-1.647036
-583.333333,-1.679571,-583.333333,-1.701252,-583.333333,-1.684278
-500,-1.712251,-500,-1.728649,-500,-1.715668
-416.666667,-1.740296,-416.666667,-1.75275,-416.666667,-1.742773
-333.333333,-1.76331,-333.333333,-1.772367,-333.333333,-1.764293
-250,-1.780695,-250,-1.788204,-250,-1.781395
-166.666667,-1.794795,-166.666667,-1.800401,-166.666667,-1.796565
-83.333333,-1.804249,-83.333333,-1.808861,-83.333333,-1.806879
-2.8421709E-14,-1.808633,-2.8421709E-14,-1.811732,-2.8421709E-14,-1.811055
83.333333,-1.809125,83.333333,-1.81183,83.333333,-1.811221
166.666667,-1.804674,166.666667,-1.80781,166.666667,-1.805523
250,-1.795702,250,-1.799657,250,-1.795762
333.333333,-1.781083,333.333333,-1.787899,333.333333,-1.781477
416.666667,-1.762456,416.666667,-1.770067,416.666667,-1.762881
500,-1.737982,500,-1.747197,500,-1.738121
583.333333,-1.708781,583.333333,-1.72327,583.333333,-1.709805
666.666667,-1.673324,666.666667,-1.691652,666.666667,-1.675022
750,3.441648,750,3.414617,750,3.432915
833.333333,3.398886,833.333333,3.365591,833.333333,3.390435
916.666667,3.351552,916.666667,3.313342,916.666667,3.342974
1000,3.299223,1000,3.254048,1000,3.289315
1083.333,3.24055,1083.333,3.191656,1083.333,3.230928
