2pf_1.0_GHz	2pf_1.0_GHz	2pf_2.0_GHz	2pf_2.0_GHz	2pf_3.0_GHz	2pf_3.0_GHz	2pf_4.0_GHz	2pf_4.0_GHz	2pf_5.0_GHz	2pf_5.0_GHz	2pf_6.0_GHz	2pf_6.0_GHz	2pf_7.0_GHz	2pf_7.0_GHz	2pf_8.0_GHz	2pf_8.0_GHz	2pf_9.0_GHz	2pf_9.0_GHz	2pf_10.0_GHz	2pf_10.0_GHz	2pf_11.0_GHz	2pf_11.0_GHz	2pf_12.0_GHz	2pf_12.0_GHz	2pf_13.0_GHz	2pf_13.0_GHz	2pf_14.0_GHz	2pf_14.0_GHz	2pf_15.0_GHz	2pf_15.0_GHz	2pf_16.0_GHz	2pf_16.0_GHz	2pf_17.0_GHz	2pf_17.0_GHz

62.500000E+0	6.803166E-6	69.300000E+0	2.706813E-6	69.600000E+0	-1.271820E-6	71.000000E+0	-1.528557E-6	71.500000E+0	-2.445417E-6	70.600000E+0	-2.237172E-6	72.200000E+0	-1.227116E-6	71.000000E+0	-1.850300E-6	73.800000E+0	-1.113618E-6	71.500000E+0	26.511797E-9	73.500000E+0	910.775800E-9	71.000000E+0	2.142055E-9	74.800000E+0	-347.913288E-9	71.600000E+0	-73.730127E-9	74.300000E+0	419.004347E-9	74.000000E+0	106.109328E-9	74.800000E+0	253.786927E-9
111.000000E+0	15.739090E-6	120.400000E+0	3.928349E-6	112.400000E+0	-2.322299E-6	118.300000E+0	-2.380849E-6	118.000000E+0	-4.125603E-6	114.100000E+0	-3.983976E-6	120.700000E+0	-2.087729E-6	124.000000E+0	-2.779640E-6	122.800000E+0	-1.863833E-6	117.300000E+0	-161.243820E-9	120.200000E+0	1.371597E-6	113.700000E+0	117.254213E-9	127.000000E+0	-645.286067E-9	122.700000E+0	20.209803E-9	120.200000E+0	578.044600E-9	115.800000E+0	313.640267E-9	120.500000E+0	331.397333E-9
163.400000E+0	15.216390E-6	166.100000E+0	4.279643E-6	171.200000E+0	-2.050289E-6	171.300000E+0	-2.165835E-6	170.700000E+0	-3.993789E-6	170.400000E+0	-4.335399E-6	172.000000E+0	-1.521291E-6	170.100000E+0	-2.904935E-6	168.400000E+0	-1.873707E-6	167.700000E+0	-298.149133E-9	167.300000E+0	1.416177E-6	171.200000E+0	9.841029E-9	166.100000E+0	-622.499600E-9	172.900000E+0	77.672733E-9	171.300000E+0	592.759333E-9	173.600000E+0	414.719733E-9	167.400000E+0	181.050067E-9
209.400000E+0	16.670780E-6	220.400000E+0	4.033648E-6	217.500000E+0	-475.970627E-9	217.700000E+0	-2.459327E-6	223.200000E+0	-4.330431E-6	217.400000E+0	-4.489252E-6	218.100000E+0	-1.234195E-6	216.900000E+0	-2.867432E-6	220.000000E+0	-2.110329E-6	214.600000E+0	-336.395400E-9	222.000000E+0	1.570838E-6	222.800000E+0	47.715013E-9	217.000000E+0	-681.110733E-9	219.700000E+0	56.811005E-9	224.100000E+0	648.173133E-9	224.900000E+0	354.463133E-9	220.900000E+0	345.584667E-9
262.200000E+0	16.095980E-6	267.600000E+0	4.246613E-6	270.600000E+0	403.699333E-9	265.100000E+0	-2.391713E-6	270.500000E+0	-4.458644E-6	264.200000E+0	-5.047176E-6	265.500000E+0	-1.556123E-6	274.400000E+0	-2.816521E-6	267.000000E+0	-2.009871E-6	267.400000E+0	-271.451267E-9	268.600000E+0	1.711902E-6	270.000000E+0	128.554293E-9	266.200000E+0	-683.159667E-9	267.300000E+0	76.244787E-9	266.800000E+0	667.078933E-9	271.600000E+0	297.280000E-9	275.000000E+0	365.545933E-9
318.500000E+0	14.555140E-6	323.700000E+0	4.468887E-6	316.400000E+0	502.358467E-9	317.000000E+0	-2.095801E-6	322.300000E+0	-4.331735E-6	315.900000E+0	-5.223259E-6	322.100000E+0	-1.758903E-6	315.000000E+0	-2.577790E-6	318.500000E+0	-1.965353E-6	317.000000E+0	-194.150533E-9	319.300000E+0	1.682100E-6	322.400000E+0	83.943647E-9	325.800000E+0	-589.406600E-9	317.600000E+0	44.207065E-9	324.000000E+0	670.773267E-9	323.700000E+0	198.962533E-9	320.400000E+0	271.171800E-9
360.900000E+0	14.564450E-6	367.200000E+0	4.574687E-6	375.900000E+0	585.122667E-9	368.600000E+0	-1.960263E-6	371.300000E+0	-4.209793E-6	374.000000E+0	-5.815084E-6	374.100000E+0	-1.827635E-6	373.400000E+0	-2.547493E-6	376.000000E+0	-1.996708E-6	376.000000E+0	-318.017333E-9	366.300000E+0	1.738227E-6	369.200000E+0	-25.114790E-9	367.500000E+0	-517.073667E-9	370.200000E+0	23.935111E-9	371.100000E+0	636.221067E-9	371.500000E+0	370.233667E-9	373.900000E+0	282.937667E-9
410.200000E+0	15.599040E-6	420.500000E+0	4.644971E-6	416.600000E+0	505.091000E-9	426.600000E+0	-2.130011E-6	421.400000E+0	-4.579779E-6	425.600000E+0	-6.098702E-6	420.700000E+0	-2.154101E-6	420.800000E+0	-2.551653E-6	422.700000E+0	-2.254687E-6	423.000000E+0	-561.715267E-9	419.000000E+0	1.720905E-6	425.800000E+0	-58.766833E-9	417.900000E+0	-529.895267E-9	416.900000E+0	109.865493E-9	423.900000E+0	578.323933E-9	419.800000E+0	344.839533E-9	416.500000E+0	381.564600E-9
472.900000E+0	16.607820E-6	479.100000E+0	4.930326E-6	476.200000E+0	555.382200E-9	474.800000E+0	-2.127217E-6	471.500000E+0	-4.879415E-6	473.400000E+0	-6.122047E-6	468.900000E+0	-2.230533E-6	468.000000E+0	-2.308329E-6	475.000000E+0	-2.363650E-6	479.000000E+0	-751.829333E-9	478.800000E+0	1.698926E-6	476.700000E+0	63.019804E-9	470.200000E+0	-566.123600E-9	471.200000E+0	168.197733E-9	472.300000E+0	576.399333E-9	479.300000E+0	243.604333E-9	470.800000E+0	230.131000E-9
