H;f
-7261,484099;8,967254408
-7579,5053;7,98488665
-7438,162544;7,002518892
-7296,819788;5,944584383
-7296,819788;5
-7296,819788;4,017632242
-7102,473498;2,921914358
-7084,805654;1,977329975
-7049,469965;0,919395466
-6590,106007;10,9697733
-6272,084806;12,97229219
-6077,738516;13,95465995
-6148,409894;14,97481108
-5936,39576;15,95717884
-5600,706714;16,9395466
-5371,024735;17,99748111
-5335,689046;18,94206549
-3374,558304;20
-2915,194346;18,94206549
-2915,194346;17,95969773
-2614,840989;16,9395466
-2544,169611;15,95717884
-2102,473498;13,95465995
-2084,805654;12,97229219
-1943,462898;11,98992443
-1731,448763;10,93198992
-1625,441696;9,949622166
-1448,763251;8,929471033
-1289,75265;7,98488665
-1166,077739;6,964735516
-989,3992933;5,944584383
-883,3922261;5
-795,0530035;4,017632242
-653,7102473;2,921914358
-512,3674912;1,977329975
759,7173145;1,977329975
547,7031802;2,959697733
653,7102473;2,959697733
954,0636042;4,017632242
971,7314488;4,962216625
1148,409894;5,944584383
1254,416961;7,002518892
1378,091873;7,947103275
1501,766784;8,929471033
1643,109541;9,949622166
1802,120141;10,93198992
1943,462898;11,98992443
2120,141343;12,97229219
2279,151943;13,95465995
2438,162544;14,97481108
2614,840989;15,95717884
2844,522968;16,9395466
2968,19788;17,95969773
3162,54417;18,94206549
3374,558304;20
5300,353357;17,99748111
5583,038869;16,9395466
5865,724382;15,95717884
6060,070671;13,99244332
6095,40636;12,97229219
6342,756184;11,98992443
6448,763251;10,93198992
6961,130742;0,919395466
6961,130742;1,977329975
7049,469965;2,921914358
7243,816254;4,017632242
7332,155477;4,962216625
7332,155477;5,944584383
7473,498233;6,964735516
7614,840989;7,947103275
7738,515901;8,967254408
7915,194346;9,987405542
