F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase	F. Angle Azim.	Field	AC Voltage	Phase
deg	Oe	V	rad	deg	Oe	V	rad	deg	Oe	V	rad	deg	Oe	V	rad	deg	Oe	V	rad	deg	Oe	V	rad	deg	Oe	V	rad	deg	Oe	V	rad	deg	Oe	V	rad	deg	Oe	V	rad	deg	Oe	V	rad	deg	Oe	V	rad
V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_1f_H_5000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_1f_H_5000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_1f_H_5000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_1f_H_5000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_5000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_5000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_5000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_5000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_4500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_4500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_4500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_4500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_4000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_4000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_4000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_4000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_3500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_3500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_3500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_3500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_3000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_3000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_3000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_3000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_2500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_2500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_2500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_2500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_2000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_2000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_2000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_2000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_1500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_1500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_1500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_1500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_1000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_1000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_1000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_1000_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_500_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_100_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_100_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_100_Oe__A_-190_d_P_0_d	V10325b_85__Hall_Vb_100_mV_Vin_1.0_V_2f_H_100_Oe__A_-190_d_P_0_d
-190.000000E+0	5.000000E+3	11.883600E-3	4.746374E-3	-190.000000E+0	5.000000E+3	-30.826978E-9	431.763100E-9	-190.000000E+0	4.500000E+3	22.910656E-9	470.972200E-9	-190.000000E+0	4.000000E+3	-18.067776E-9	461.379500E-9	-190.000000E+0	3.500000E+3	18.905942E-9	507.480900E-9	-190.000000E+0	3.000000E+3	-12.666054E-9	484.663400E-9	-190.000000E+0	2.500000E+3	14.714979E-9	624.269100E-9	-190.000000E+0	2.000000E+3	1.583248E-9	628.087700E-9	-190.000000E+0	1.500000E+3	2.700836E-9	751.860400E-9	-190.000000E+0	1.000000E+3	-35.669890E-9	942.036900E-9	-190.000000E+0	500.000000E+0	-76.834570E-9	1.420368E-6	-190.000000E+0	100.000000E+0	-143.703800E-9	3.564932E-6
-185.000000E+0	5.000000E+3	11.884610E-3	4.746565E-3	-185.000000E+0	5.000000E+3	-10.058327E-9	415.651000E-9	-185.000000E+0	4.500000E+3	8.847604E-9	458.306000E-9	-185.000000E+0	4.000000E+3	3.539032E-9	470.320300E-9	-185.000000E+0	3.500000E+3	31.572023E-9	482.614400E-9	-185.000000E+0	3.000000E+3	-12.572923E-9	567.272300E-9	-185.000000E+0	2.500000E+3	29.616222E-9	576.026900E-9	-185.000000E+0	2.000000E+3	-3.725306E-9	646.527600E-9	-185.000000E+0	1.500000E+3	-26.170320E-9	760.242400E-9	-185.000000E+0	1.000000E+3	-5.029184E-9	942.782200E-9	-185.000000E+0	500.000000E+0	-55.879664E-9	1.347167E-6	-185.000000E+0	100.000000E+0	-124.332270E-9	3.494804E-6
-180.000000E+0	5.000000E+3	11.885700E-3	4.747420E-3	-180.000000E+0	5.000000E+3	16.763917E-9	441.076400E-9	-180.000000E+0	4.500000E+3	-20.768608E-9	460.540800E-9	-180.000000E+0	4.000000E+3	16.391366E-9	474.511300E-9	-180.000000E+0	3.500000E+3	22.538130E-9	488.574800E-9	-180.000000E+0	3.000000E+3	-15.087478E-9	575.840300E-9	-180.000000E+0	2.500000E+3	6.333038E-9	581.242200E-9	-180.000000E+0	2.000000E+3	-27.567302E-9	645.503400E-9	-180.000000E+0	1.500000E+3	3.539040E-9	751.767200E-9	-180.000000E+0	1.000000E+3	-21.141156E-9	923.131300E-9	-180.000000E+0	500.000000E+0	-12.572929E-9	1.392427E-6	-180.000000E+0	100.000000E+0	-132.621100E-9	3.466584E-6
-175.000000E+0	5.000000E+3	11.894560E-3	4.748370E-3	-175.000000E+0	5.000000E+3	15.739454E-9	453.276900E-9	-175.000000E+0	4.500000E+3	-14.156177E-9	422.542900E-9	-175.000000E+0	4.000000E+3	34.924798E-9	498.819700E-9	-175.000000E+0	3.500000E+3	-9.872076E-9	503.569400E-9	-175.000000E+0	3.000000E+3	-17.136442E-9	549.111400E-9	-175.000000E+0	2.500000E+3	931.350000E-12	566.806500E-9	-175.000000E+0	2.000000E+3	-4.284111E-9	637.866600E-9	-175.000000E+0	1.500000E+3	16.763902E-9	734.444600E-9	-175.000000E+0	1.000000E+3	22.258732E-9	921.268600E-9	-175.000000E+0	500.000000E+0	-22.165630E-9	1.357596E-6	-175.000000E+0	100.000000E+0	-153.855500E-9	3.427467E-6
-170.000000E+0	5.000000E+3	11.909240E-3	4.750376E-3	-170.000000E+0	5.000000E+3	-22.817528E-9	430.459000E-9	-170.000000E+0	4.500000E+3	-33.248420E-9	437.164900E-9	-170.000000E+0	4.000000E+3	-5.308571E-9	460.728000E-9	-170.000000E+0	3.500000E+3	-5.867371E-9	485.594600E-9	-170.000000E+0	3.000000E+3	35.949250E-9	522.009500E-9	-170.000000E+0	2.500000E+3	-5.867341E-9	591.673000E-9	-170.000000E+0	2.000000E+3	-838.202000E-12	666.830700E-9	-170.000000E+0	1.500000E+3	1.397006E-9	722.989400E-9	-170.000000E+0	1.000000E+3	-4.749762E-9	889.696100E-9	-170.000000E+0	500.000000E+0	-33.714065E-9	1.360110E-6	-170.000000E+0	100.000000E+0	-133.273220E-9	3.467048E-6
-165.000000E+0	5.000000E+3	11.930810E-3	4.754004E-3	-165.000000E+0	5.000000E+3	37.998170E-9	430.086900E-9	-165.000000E+0	4.500000E+3	-745.075000E-12	450.017000E-9	-165.000000E+0	4.000000E+3	-18.254034E-9	409.876900E-9	-165.000000E+0	3.500000E+3	-4.190978E-9	512.975700E-9	-165.000000E+0	3.000000E+3	45.635043E-9	533.372100E-9	-165.000000E+0	2.500000E+3	9.499546E-9	589.623900E-9	-165.000000E+0	2.000000E+3	-12.107269E-9	637.400700E-9	-165.000000E+0	1.500000E+3	-32.130815E-9	747.762500E-9	-165.000000E+0	1.000000E+3	-7.916296E-9	888.764800E-9	-165.000000E+0	500.000000E+0	-26.915386E-9	1.294640E-6	-165.000000E+0	100.000000E+0	-119.861900E-9	3.371682E-6
-160.000000E+0	5.000000E+3	11.958840E-3	4.757815E-3	-160.000000E+0	5.000000E+3	-6.239900E-9	410.901300E-9	-160.000000E+0	4.500000E+3	41.257812E-9	419.655900E-9	-160.000000E+0	4.000000E+3	43.492970E-9	407.269200E-9	-160.000000E+0	3.500000E+3	6.798680E-9	499.844000E-9	-160.000000E+0	3.000000E+3	-8.661353E-9	493.324700E-9	-160.000000E+0	2.500000E+3	21.979342E-9	523.872200E-9	-160.000000E+0	2.000000E+3	-11.455337E-9	575.374700E-9	-160.000000E+0	1.500000E+3	9.499560E-9	683.967000E-9	-160.000000E+0	1.000000E+3	-18.812810E-9	832.140500E-9	-160.000000E+0	500.000000E+0	-6.426158E-9	1.198991E-6	-160.000000E+0	100.000000E+0	-131.876000E-9	3.242880E-6
-155.000000E+0	5.000000E+3	11.982970E-3	4.760866E-3	-155.000000E+0	5.000000E+3	12.293540E-9	375.511100E-9	-155.000000E+0	4.500000E+3	11.362196E-9	423.753800E-9	-155.000000E+0	4.000000E+3	50.757341E-9	470.879500E-9	-155.000000E+0	3.500000E+3	13.690500E-9	398.328500E-9	-155.000000E+0	3.000000E+3	3.166502E-9	484.570000E-9	-155.000000E+0	2.500000E+3	10.524002E-9	506.922200E-9	-155.000000E+0	2.000000E+3	-9.592651E-9	582.173300E-9	-155.000000E+0	1.500000E+3	-6.333025E-9	659.752600E-9	-155.000000E+0	1.000000E+3	13.504236E-9	748.600900E-9	-155.000000E+0	500.000000E+0	-4.842900E-9	1.137990E-6	-155.000000E+0	100.000000E+0	-65.286050E-9	2.942249E-6
