hx,rxx_hx,h45,rxx_h45,hy,rxx_hy
-5000,303.81190748454,-9000,303.337874502691,-9000,301.393380172062
-4916.667,303.826036729224,-7000,303.336530558579,-7000,301.402165662709
-4833.333,303.81269897781,-5000,303.356281614466,-5000,301.426823153355
-4750,303.819211222493,-4916.667,303.357622948987,-4916.667,301.431908163403
-4666.667,303.822684467177,-4833.333,303.355988286932,-4833.333,301.419328204639
-4583.333,303.819984715763,-4750,303.354757621452,-4750,301.413168214686
-4500,303.816913960446,-4666.667,303.359121955973,-4666.667,301.401648224734
-4416.667,303.81741220513,-4583.333,303.358465293918,-4583.333,301.398948265969
-4333.333,303.823013453716,-4500,303.359357628438,-4500,301.394442276017
-4250,303.823477698399,-4416.667,303.351265962959,-4416.667,301.385229286064
-4166.667,303.817180943083,-4333.333,303.352978300903,-4333.333,301.3933243273
-4083.333,303.813020191669,-4250,303.355640635424,-4250,301.396981337348
-4000,303.813642436352,-4166.667,303.355965969945,-4166.667,301.386922347395
-3916.667,303.821824681036,-4083.333,303.352055307889,-4083.333,301.386718388631
-3833.333,303.810951929622,-4000,303.36447564241,-4000,301.392755398679
-3750,303.821087174306,-3916.667,303.357376976931,-3916.667,301.385269408726
-3666.667,303.823246418989,-3833.333,303.345912314875,-3833.333,301.378636449962
-3583.333,303.810981667575,-3750,303.356489649396,-3750,301.383471460009
-3500,303.807857912259,-3666.667,303.351459983917,-3666.667,301.381327470057
-3416.667,303.819467156942,-3583.333,303.361556321861,-3583.333,301.381644511293
-3333.333,303.817236405528,-3500,303.354370656382,-3500,301.39376452134
-3250,303.815694650212,-3416.667,303.366156990903,-3416.667,301.408987216345
-3166.667,303.815598894895,-3333.333,303.365387328847,-3333.333,301.397669449425
-3083.333,303.819278143481,-3250,303.374183663368,-3250,301.398634677125
-3000,303.816994388165,-3166.667,303.357381997888,-3166.667,301.405272904826
-2916.667,303.827007632848,-3083.333,303.354472335833,-3083.333,301.412123137905
-2833.333,303.815234881434,-3000,303.371812670354,-3000,301.423214365606
-2750,303.817070126118,-2916.667,303.366217004874,-2916.667,301.428974593306
-2666.667,303.817489370801,-2833.333,303.355355342819,-2833.333,301.435467826386
-2583.333,303.817231619388,-2750,303.36447367734,-2750,301.434914054086
-2500,303.822951864071,-2666.667,303.37103801186,-2666.667,301.451782281787
-2416.667,303.828695108754,-2583.333,303.371012349805,-2583.333,301.448062514866
-2333.333,303.814640357341,-2500,303.366955684326,-2500,301.458372742567
-2250,303.823814602024,-2416.667,303.378528018846,-2416.667,301.472913970267
-2166.667,303.820515846707,-2333.333,303.378988356791,-2333.333,301.485377203347
-2083.333,303.825467095294,-2250,303.380485691312,-2250,301.485746431047
-2000,303.818737202899,-2166.667,303.378335025832,-2166.667,301.516449658748
-1916.667,303.822053726812,-2083.333,303.396294363777,-2083.333,301.513931891827
-1833.333,303.826234244203,-2000,303.398114698298,-2000,301.543477119528
-1750,303.817421768116,-1916.667,303.394741032818,-1916.667,301.570680347228
-1666.667,303.824113292029,-1833.333,303.415779370763,-1833.333,301.588457580308
-1583.333,303.82626580942,-1750,303.429429705283,-1750,301.607096808008
-1500,303.819990333333,-1666.667,303.443227039804,-1666.667,301.635994035709
