4pf_1.0_GHz	4pf_1.0_GHz	4pf_2.0_GHz	4pf_2.0_GHz	4pf_3.0_GHz	4pf_3.0_GHz	4pf_4.0_GHz	4pf_4.0_GHz	4pf_5.0_GHz	4pf_5.0_GHz	4pf_6.0_GHz	4pf_6.0_GHz	4pf_7.0_GHz	4pf_7.0_GHz	4pf_8.0_GHz	4pf_8.0_GHz	4pf_9.0_GHz	4pf_9.0_GHz	4pf_10.0_GHz	4pf_10.0_GHz	4pf_11.0_GHz	4pf_11.0_GHz	4pf_12.0_GHz	4pf_12.0_GHz	4pf_13.0_GHz	4pf_13.0_GHz	4pf_14.0_GHz	4pf_14.0_GHz	4pf_15.0_GHz	4pf_15.0_GHz	4pf_16.0_GHz	4pf_16.0_GHz	4pf_17.0_GHz	4pf_17.0_GHz

72.400000E+0	26.692852E-6	73.700000E+0	19.788833E-6	74.100000E+0	9.238759E-6	74.300000E+0	6.163159E-6	74.500000E+0	3.965719E-6	74.700000E+0	4.601503E-6	75.000000E+0	3.308073E-6	74.900000E+0	3.286223E-6	75.400000E+0	1.651060E-6	73.100000E+0	1.740466E-6	73.900000E+0	2.612686E-6	74.500000E+0	1.005338E-6	74.200000E+0	2.036507E-6	75.900000E+0	174.841107E-9	74.100000E+0	437.103600E-9	75.100000E+0	1.796098E-6	75.100000E+0	621.878267E-9
113.800000E+0	40.724113E-6	122.800000E+0	28.542787E-6	123.800000E+0	15.399920E-6	123.000000E+0	8.396365E-6	120.700000E+0	4.009430E-6	119.000000E+0	5.628694E-6	120.400000E+0	3.699482E-6	125.100000E+0	4.331301E-6	121.300000E+0	2.696132E-6	114.500000E+0	1.392770E-6	116.500000E+0	3.816705E-6	115.900000E+0	2.318634E-6	124.000000E+0	2.090148E-6	121.800000E+0	1.609335E-6	120.600000E+0	848.378400E-9	115.600000E+0	1.649071E-6	120.300000E+0	1.839806E-6
165.300000E+0	38.588773E-6	175.000000E+0	30.686640E-6	175.600000E+0	15.086000E-6	168.300000E+0	6.550579E-6	172.500000E+0	1.547744E-6	172.400000E+0	6.568461E-6	166.200000E+0	6.051887E-6	171.200000E+0	2.988193E-6	167.400000E+0	2.725934E-6	166.800000E+0	2.338503E-6	174.800000E+0	2.481555E-6	176.900000E+0	2.837197E-6	165.000000E+0	1.114613E-6	177.900000E+0	2.809380E-6	173.300000E+0	1.666953E-6	168.100000E+0	1.468268E-6	172.000000E+0	2.845143E-6
224.300000E+0	36.133580E-6	217.600000E+0	28.159340E-6	217.900000E+0	12.215047E-6	222.200000E+0	6.345936E-6	218.600000E+0	2.062332E-6	219.200000E+0	8.028794E-6	224.200000E+0	6.618132E-6	223.300000E+0	3.369669E-6	225.300000E+0	2.725933E-6	219.500000E+0	2.072267E-6	221.900000E+0	3.008061E-6	216.400000E+0	2.229225E-6	222.800000E+0	2.342475E-6	220.500000E+0	1.810003E-6	219.900000E+0	2.793486E-6	226.000000E+0	2.497449E-6	218.500000E+0	1.565625E-6
273.700000E+0	36.581587E-6	275.600000E+0	25.421500E-6	271.200000E+0	14.877393E-6	265.700000E+0	5.346567E-6	266.600000E+0	-1.146402E-6	277.000000E+0	8.817570E-6	272.200000E+0	5.048543E-6	270.300000E+0	4.526007E-6	272.800000E+0	3.210723E-6	271.000000E+0	3.902138E-6	273.500000E+0	2.668315E-6	268.000000E+0	2.525265E-6	269.500000E+0	1.992792E-6	274.000000E+0	1.994779E-6	267.700000E+0	2.290817E-6	267.500000E+0	2.131872E-6	276.000000E+0	1.851729E-6
322.500000E+0	36.133320E-6	323.400000E+0	26.855993E-6	323.800000E+0	12.699813E-6	320.900000E+0	3.602125E-6	322.100000E+0	-977.522400E-9	318.200000E+0	10.846126E-6	324.300000E+0	6.940004E-6	322.200000E+0	4.212087E-6	323.500000E+0	4.025324E-6	321.900000E+0	2.803420E-6	325.100000E+0	2.658383E-6	320.500000E+0	1.740467E-6	325.900000E+0	2.268960E-6	320.100000E+0	3.359729E-6	319.100000E+0	3.004089E-6	320.200000E+0	1.563637E-6	322.300000E+0	1.539795E-6
376.700000E+0	32.382933E-6	370.100000E+0	25.908260E-6	373.000000E+0	10.267960E-6	370.100000E+0	4.975031E-6	369.400000E+0	-3.989562E-6	371.800000E+0	10.865990E-6	376.800000E+0	6.808866E-6	369.300000E+0	4.369049E-6	377.300000E+0	3.568351E-6	376.200000E+0	3.961747E-6	367.800000E+0	3.194827E-6	371.800000E+0	1.607348E-6	374.100000E+0	2.884879E-6	371.600000E+0	1.631190E-6	377.300000E+0	3.290191E-6	378.400000E+0	3.496827E-6	376.700000E+0	1.106666E-6
420.100000E+0	33.686547E-6	423.700000E+0	23.690973E-6	424.300000E+0	12.048140E-6	423.800000E+0	2.761698E-6	428.000000E+0	-5.710155E-6	429.400000E+0	13.180627E-6	429.600000E+0	7.369167E-6	422.200000E+0	5.805522E-6	428.600000E+0	4.214078E-6	421.900000E+0	3.097469E-6	421.600000E+0	2.318631E-6	426.100000E+0	3.163039E-6	428.100000E+0	2.513343E-6	425.100000E+0	2.338503E-6	417.800000E+0	528.497367E-9	429.400000E+0	1.966965E-6	422.300000E+0	3.157075E-6
474.800000E+0	32.032520E-6	472.900000E+0	23.931387E-6	478.600000E+0	9.427528E-6	477.400000E+0	1.798084E-6	470.300000E+0	-7.784415E-6	479.000000E+0	13.504487E-6	478.300000E+0	8.706309E-6	476.900000E+0	5.509485E-6	470.800000E+0	4.315402E-6	481.200000E+0	3.349801E-6	476.100000E+0	1.804044E-6	480.100000E+0	2.002727E-6	475.700000E+0	2.797458E-6	477.200000E+0	3.059721E-6	472.100000E+0	1.947097E-6	473.000000E+0	2.219291E-6	476.800000E+0	961.626533E-9
