time;R_free_bottom;bottom_Hextz;bottom_Hexty;bottom_Hextx;free_Hextz;free_mz;bottom_my;free_mx;bottom_mx;bottom_K;free_my;free_Hexty;free_Hextx;bottom_mz;free_K;
0;182.067;0;0;0;0;-1;0.761849;0;0.0908675;1.5e+06;0;0;0;0.641349;800000;
1e-12;179.091;0;0;0;0;-1;0.811683;0;0.0516341;1.5e+06;0;0;0;0.581812;800000;
2e-12;178.868;0;0;0;0;-1;0.815638;0;-0.0372638;1.5e+06;0;0;0;0.577361;800000;
3e-12;181.515;0;0;0;0;-1;0.771593;0;-0.0857556;1.5e+06;0;0;0;0.630309;800000;
4e-12;184.321;0;0;0;0;-1;0.725663;0;-0.0473402;1.5e+06;0;0;0;0.68642;800000;
5e-12;184.484;0;0;0;0;-1;0.723188;0;0.0365441;1.5e+06;0;0;0;0.689684;800000;
6e-12;181.947;0;0;0;0;-1;0.76499;0;0.0809006;1.5e+06;0;0;0;0.638941;800000;
7e-12;179.353;0;0;0;0;-1;0.808388;0;0.0432631;1.5e+06;0;0;0;0.587059;800000;
8e-12;179.268;0;0;0;0;-1;0.809984;0;-0.0358536;1.5e+06;0;0;0;0.585355;800000;
9e-12;181.681;0;0;0;0;-1;0.769872;0;-0.0762869;1.5e+06;0;0;0;0.633622;800000;
1e-11;184.118;0;0;0;0;-1;0.729944;0;-0.0394103;1.5e+06;0;0;0;0.682369;800000;
1.1e-11;184.148;0;0;0;0;-1;0.7296;0;0.0351696;1.5e+06;0;0;0;0.682969;800000;
1.2e-11;181.838;0;0;0;0;-1;0.76771;0;0.0718996;1.5e+06;0;0;0;0.636751;800000;
1.3e-11;179.589;0;0;0;0;-1;0.805312;0;0.0357765;1.5e+06;0;0;0;0.591771;800000;
1.4e-11;179.624;0;0;0;0;-1;0.804841;0;-0.0344858;1.5e+06;0;0;0;0.592487;800000;
1.5e-11;181.823;0;0;0;0;-1;0.768324;0;-0.0677265;1.5e+06;0;0;0;0.636468;800000;
1.6e-11;183.93;0;0;0;0;-1;0.733795;0;-0.0323635;1.5e+06;0;0;0;0.6786;800000;
1.7e-11;183.845;0;0;0;0;-1;0.735294;0;0.0337889;1.5e+06;0;0;0;0.676905;800000;
1.8e-11;181.742;0;0;0;0;-1;0.770005;0;0.0637561;1.5e+06;0;0;0;0.634845;800000;
1.9e-11;179.803;0;0;0;0;-1;0.802414;0;0.0291631;1.5e+06;0;0;0;0.596055;800000;
2e-11;179.941;0;0;0;0;-1;0.800195;0;-0.0330777;1.5e+06;0;0;0;0.598827;800000;
2.1e-11;181.942;0;0;0;0;-1;0.766992;0;-0.0599789;1.5e+06;0;0;0;0.638847;800000;
2.2e-11;183.753;0;0;0;0;-1;0.737293;0;-0.0261732;1.5e+06;0;0;0;0.675066;800000;
2.3e-11;183.573;0;0;0;0;-1;0.740334;0;0.0323451;1.5e+06;0;0;0;0.671461;800000;
2.4e-11;181.662;0;0;0;0;-1;0.771893;0;0.0563857;1.5e+06;0;0;0;0.633247;800000;
2.5e-11;179.999;0;0;0;0;-1;0.799673;0;0.0233841;1.5e+06;0;0;0;0.59998;800000;
2.6e-11;180.222;0;0;0;0;-1;0.796023;0;-0.0315927;1.5e+06;0;0;0;0.604442;800000;
2.7e-11;182.039;0;0;0;0;-1;0.765893;0;-0.0529686;1.5e+06;0;0;0;0.640782;800000;
2.8e-11;183.587;0;0;0;0;-1;0.740493;0;-0.0207914;1.5e+06;0;0;0;0.671742;800000;
2.9e-11;183.33;0;0;0;0;-1;0.744779;0;0.0308178;1.5e+06;0;0;0;0.666599;800000;
3e-11;181.598;0;0;0;0;-1;0.773405;0;0.0497201;1.5e+06;0;0;0;0.631959;800000;
3.1e-11;180.18;0;0;0;0;-1;0.79708;0;0.0183845;1.5e+06;0;0;0;0.603594;800000;
3.2e-11;180.47;0;0;0;0;-1;0.792298;0;-0.0300236;1.5e+06;0;0;0;0.609395;800000;
3.3e-11;182.116;0;0;0;0;-1;0.765024;0;-0.0466333;1.5e+06;0;0;0;0.642311;800000;
3.4e-11;183.431;0;0;0;0;-1;0.743431;0;-0.0161577;1.5e+06;0;0;0;0.668617;800000;
